,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Auto Overseer,Skrialik,8268140,https://imgur.com/a/Q7cXao1,4TDM,,,,,,,,,,,,,
,Auto Overseer,ια,8261135,https://imgur.com/gallery/TwABFHF,2TDM,,,,,,,,,,,,,
,Predator,bum,8253075,https://imgur.com/a/DefXlhW,2TDM,,,,,,,,,,,,,
,Auto Cruiser,Heatherly,8217163,https://imgur.com/a/L8fSwkK,2TDM,,,,,,,,,,,,,
,Manager,Roman,8204253,https://imgur.com/a/zicLKBH,2TDM,,,,,,,,,,,,,
,Manager,duc,8183444,https://cdn.discordapp.com/attachments/559793341143711767/1113845667840933918/8.18m_manager_proof.png,2TDM,,,,,,,,,,,,,
,Fortress,Slade,8182540,https://cdn.discordapp.com/attachments/928174021592383489/1127068247846563860/screenshot_-_2022-10-19T210321.png,Squads,,,,,,,,,,,,,
,Annihilator,lamita,8163828,https://media.discordapp.net/attachments/1064783692578426901/1103270636878569472/image.png?width=1202&height=676,2TDM,,,,,,,,,,,,,
,Auto Overseer,Colon,8159703,https://cdn.discordapp.com/attachments/1115076826809769986/1116131581057306774/IMG_1595.png,4TDM,,,,,,,,,,,,,
,Fighter,ExC,8152846,https://imgur.com/a/dLvBQfH,FFA,Legacy,,,,,,,,,,,,
,Auto Double,Jess,8151530,https://imgur.com/a/1scHNcj,Squads,,,,,,,,,,,,,
,Stalker,Para,8140358,https://imgur.com/gallery/AG5tGNV,2TDM,,,,,,,,,,,,,
,Bushwhacker,Slade,8120500,https://cdn.discordapp.com/attachments/950121196870062131/1147753275463053402/screenshot_-_2023-09-02T204656.277.png,2TDM,TBR,,,,,,,,,,,,
,Auto Spawner,byekc,8112668,https://cdn.discordapp.com/attachments/1051941840863113327/1068961161950793931/Ekran_Goruntusu_4668.png,4TDM,,,,,,,,,,,,,
,Musket,Ö.,8108770,https://imgur.com/a/KQMk8mU,2TDM,TBR,,,,,,,,,,,,
,Manager,Skrialik,8106587,https://imgur.com/a/AjSdAYS,4TDM,,,,,,,,,,,,,
,Surfer,Corrupt X,8102741,https://imgur.com/a/gMw8tR8,Portal TDM,Legacy,,,,,,,,,,,,
,Bushwhacker,pedal,8069915,https://imgur.com/a/0gc4KaW,2TDM,,,,,,,,,,,,,
,Manager,OnyxD,8063415,https://imgur.com/a/BxSYBCw,2TDM,,,,,,,,,,,,,
,Overlord,Askatasuna,8044462,https://imgur.com/a/zw98bGp,2TDM,,,,,,,,,,,,,
,Overlord,zo,8027941,https://imgur.com/a/q1rJLCg,2TDM,,,,,,,,,,,,,
,Streamliner,OnyxD,8010399,https://imgur.com/a/ACbP2HO,4TDM,,,,,,,,,,,,,
,Gunner Trapper,Slade,8010030,https://cdn.discordapp.com/attachments/928174021592383489/1141016525936009298/screenshot_-_2023-08-14T225010.png,4TDM,TBR,,,,,,,,,,,,
,Machine Gun,Quad,8007042,https://imgur.com/gmbUiUr,Duos,,,,,,,,,,,,,
,Necromancer,Marcus,8006279,https://media.discordapp.net/attachments/1095472648886165704/1142860464716521574/screenshot_-_2023-08-20T183918.172.png,2TDM,TBR,,,,,,,,,,,,
,Auto Overseer,Awootube,8002776,https://cdn.discordapp.com/attachments/866023322529955870/1109683291633766410/screenshot_-_2023-05-20T213628.506.png,2TDM,,,,,,,,,,,,,
,Penta Shot,Drokert el LaTaTa,7995818,https://cdn.discordapp.com/attachments/1009229141859643462/1147995505771679794/7.99m_Penta_Shot_2-tdm_6hr_6m_35s.PNG,2TDM,,,,,,,,,,,,,
,Overseer,Mr.Hacker YT,7909167,https://cdn.discordapp.com/attachments/981241581044637696/1116094539392897054/screenshot_-_2023-03-04T214208.320.png,2TDM,,,,,,,,,,,,,
,Auto Overseer,Nyrox,7894354,https://imgur.com/a/cipwQuI,4TDM,,,,,,,,,,,,,
,Manager,Jess,7865891,https://cdn.discordapp.com/attachments/866023322529955870/1120858523455205416/screenshot_-_2023-06-20T170807.983.png,2TDM,,,,,,,,,,,,,
,Annihilator,Marcus,7861288,https://cdn.discordapp.com/attachments/1104777239725346876/1113552873536622713/screenshot_-_2023-05-31T194719.246.png,Maze 2TDM,,,,,,,,,,,,,
,Auto Overseer,OnyxD,7806019,https://imgur.com/a/UI8Hls5,2TDM,,,,,,,,,,,,,
