CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,114,9340186,Endless,CellImage,Artillery,FFA,Legacy,https://imgur.com/gallery/FHxsqvn,,,,,,,,,,,,
,115,9197040,byekc,CellImage,Auto Overseer,2TDM,,https://cdn.discordapp.com/attachments/1062306642898735186/1144981230048264312/image.png,2,3,9,7,7,7,1,6,0,0,26th August 2023,EUROPE
,116,9166223,OnyxD,CellImage,Manager,2TDM,,https://imgur.com/a/r9Aq35B,,,,,,,,,,,,
,117,9101585,ExC,CellImage,Surfer,Open TDM,Legacy,https://imgur.com/a/gMCl59z,2,2,2,7,8,8,8,5,0,0,23rd April 2021,USA
,118,9068051,safuez,CellImage,Auto Spawner,2TDM,Legacy,https://cdn.discordapp.com/attachments/928174021592383489/1137072081096425483/safuez.png,,,,,,,,,,,,
,119,9028737,Mr.Hacker YT,CellImage,Hexa Tank,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1144948480629018687/screenshot_-_2023-08-26T035047.271.png,2,2,4,8,6,8,7,5,0,0,26th August 2023,USA
,120,8893606,Ö.,CellImage,Overtrapper,2TDM,,https://imgur.com/a/gHsKWpQ,,,,,,,,,,,,
,121,8890000,Marcus,CellImage,Hexa Tank,2TDM,TBR,https://cdn.discordapp.com/attachments/559793341143711767/1144659755747512380/image.png,2,2,4,8,6,8,7,5,0,0,/,EUROPE
,122,8860000,Marcus,CellImage,Hexa Tank,Maze,,https://cdn.discordapp.com/attachments/1095472648886165704/1137949723983106069/screenshot_-_2023-08-07T052547.389.png,2,2,4,8,6,8,7,5,0,0,7th August 2023,EUROPE
,123,8859683,ascending,CellImage,Ranger,2TDM,,https://imgur.com/a/IxcjRdj,,,,,,,,,,,,
,124,8858460,Quad,CellImage,Falcon,2TDM,,https://imgur.com/a/RKECd8Y,7,8,3,3,4,3,3,9,0,0,19th October 2022,USA
,125,8766383,ια,CellImage,Streamliner,4TDM,,https://imgur.com/a/QOBnWh5,,,,,,,,,,,,
,126,8757742,byekc,CellImage,Auto Builder,2TDM,,https://cdn.discordapp.com/attachments/1044131085463851028/1059885110880645180/Ekran_Goruntusu_4214.png,2,3,4,7,7,7,4,8,0,0,3rd January 2023,EUROPE
,127,8708932,Stradpult,CellImage,Surfer,FFA,Legacy,https://media.discordapp.net/attachments/454578417745133580/764495802529087498/unknown.png?width=1204&height=677,,,,,,,,,,,,
